"PID","Sale_Price"
910251050,76632.7217826407
903454090,131804.480843279
528253010,228823.851456453
527183060,206827.467818047
907135180,130072.645990728
906380110,234406.907387253
907192020,183888.1019949
902402150,98868.4943376078
909276170,186744.021149574
906412010,368063.747419693
905452140,145896.347930889
531376030,183914.935464592
534277070,123032.212745865
910202060,111144.405645126
906226080,146534.01364321
903231090,127020.867957043
527359010,186092.094801929
923228370,91297.7731413799
906402060,262390.37469179
903426010,124450.191043313
905200350,153493.851025797
535353130,127252.935028855
907285040,267966.478713109
923252080,126311.903535591
909250160,101349.573925073
907135230,155920.097714319
907131120,203440.778370915
532476050,256244.652123013
905104110,143509.15224823
528104080,431561.526629451
528181070,213862.884614071
907285020,238410.475279123
534129370,156816.781264285
907401080,214313.079761365
528348030,272783.499064096
905475500,84776.9758733554
903453080,180873.237514066
903232090,147185.414600825
531363080,143274.764124139
528174030,197457.43333636
534129380,141555.199516175
528431020,257877.854015243
532376040,125782.388401324
903201020,126443.514831249
905105170,117886.643129694
533210010,168305.964351457
902201130,113090.471802896
532378220,122788.168506046
902405120,114742.300859065
907414060,187376.60786059
528222020,177026.202894415
923203190,168989.673396984
903233080,154254.874373993
531450120,200492.543071546
907181090,200722.311341788
528166150,338511.75917559
905480160,99410.4350233213
534475170,168720.909452463
914478045,148641.153402275
531371070,190753.659982983
527165170,173502.733152726
905202230,195571.532776184
909425180,205250.414302208
528315110,361696.62833918
907192130,222507.163754861
526355190,272662.557705415
909176080,160599.59206214
535353180,249645.769779113
535300040,129547.254719853
905200160,110341.751652217
528458060,208554.426028649
907254050,208744.654439987
527163040,177936.987011726
531452260,172700.927573684
528222040,193765.908384469
923225360,91127.4523979053
535457040,119192.221422732
904100170,125621.271575862
528218060,169701.243174857
908188150,133253.903322579
534252110,127593.556161438
909281030,133415.648216588
527354050,190898.338730371
909275020,152737.747512547
907414070,188538.504565856
924151040,279060.4256204
903452025,86615.914983307
528280130,191991.784849821
528181030,201144.844735942
533221030,181588.601781866
533208070,164194.53326736
902207120,96525.8150845203
533205110,221580.514251866
533212110,149962.90948467
923276250,197747.643921754
527183030,196202.397596349
906402200,331491.390424025
527106140,191621.918160554
535383070,121720.785097166
528174040,193167.00890245
903481130,96448.1526070564
528106010,351183.761771092
533223100,146973.052386904
528188090,160379.652304809
526353030,252434.153618948
911103060,113787.823681609
533251120,163579.825777025
533254100,189123.775174074
909426090,154542.445800366
904352190,127213.985119297
910226040,148228.793402202
908130020,140964.20238851
528458130,322728.437500352
907251100,250104.496181295
528429050,232367.683908158
531450030,188681.863091394
535152070,146810.131526678
535402010,175529.178927485
533212020,157641.328642495
528102100,265587.935253978
532376070,126392.878881189
902305090,88722.311703549
